    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
4                                0                        1634636043   
5                                0                        5654328624   
6                         -1270095                        2257890496   
7                           134026                         491503824   
8                         -1150859                        1460160314   
9                                0                         918704302   

   Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0    31648371377            1693103966   
1    32111006744             436527088   
2    33868277132                     0   
3    35708887452                     0   
4    36375725310                     0   
5    57769376959           56846073048   
6    60370007721           27654592018   
7    60297824969           -2515837518   
8    60737926041           -3563078389   
9    60028903610           11734710842   

   Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                       10005905437   -5319923966   
1                                       28426598524    -108502680   
2                                       54312471806    -108502680   
3                                       90867586118    -828113218   
4                                       90456237518   -2715088182   
5                                      -41431022579   -1695997103   
6                                      125330739835   -6082699653   
7                                       43103995587   -2208051900   
8                                       24156616960   -5200907871   
9                                       26244379249   -2209549262   

   Lưu chuyển từ hoạt động đầu tư  Lưu chuyển tiền từ hoạt động tài chính  
0                     -5219923966                                       0  
1                      -108502680                             -3500000000  
2                      -108502680                                       0  
3                      -828113218                             -7647000000  
4                     -2715088182                            -79800000000  
5                     -1695997103                            -22604726852  
6                     -5675186561                            -85031771310  
7                     -2208051900                            -13407210708  
8                     -4955453322                              -124470939  
9                     -2127731082                              2710343150  
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  DCT  2023  5          0.000000       13611823500                  27223647   
1  DCT  2022  5          0.000000       16334188200                  27223647   
2  DCT  2021  5          0.000000       28693723938                  27223647   
3  DCT  2019  5          0.000000       54447294000                  27223647   
4  DCT  2018  5          0.000000       54447294000                  27223647   
5  DCT  2017  5          0.000000       54447294000                  27223647   
6  DCT  2016  5          0.000000       54447294000                  27223647   
7  DCT  2015  5          4.774789       54447294000                  27223647   
8  DCT  2014  5          0.553693       54447294000                  27223647   
9  DCT  2013  5          0.258826       54447294000                  27223647   

                                                                         \
