    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
9                    300250250000              -423372901106   

   Lưu chuyển tiền thuần trong kỳ  Ảnh hưởng của chênh lệch tỷ giá  \
0                     -3640327254                                0   
1                      1266056005                                0   
2                     -3784581215                                0   
3                      2585981261                         -7841263   
4                     -4680387305                           292485   
5                      2707547894                         -1609253   
6                      1907425822                         11664476   
7                      3511970857                         53743269   
8                       342682267                                0   
9                     -4699315187                                0   

   Tiền và tương đương tiền cuối kỳ  Khấu hao TSCĐ  \
0                        4229964830     9317548555   
1                        7870292084    10046617252   
2                        6604236079    12340290162   
3                       10388817294    13902992521   
4                        7810677296    15359840462   
5                       12490772116    14189353015   
6                        9784833475              0   
7                        7865743177              0   
8                        4300029051    12136445398   
9                        3957346784              0   

   Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                       -9097786922   -1608921924   
1                                        6523403009    -450307000   
2                                       10018849057    -468000000   
3                                       13834240834    -620548228   
4                                       15774258233   -2141368000   
5                                                 0             0   
6                                                 0   -1737116574   
7                                                 0  -10896406039   
8                                                 0   -8628021648   
9                                                 0  -18764496640   

   Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                              2120337523                       766624345   
1                               127767155                      -322539845   
2                               179523655                      -288476345   
3                                39638165                       328180846   
4                               987210908                      -825210579   
5                              5798565521                      8043881320   
6                               253281786                      -320029331   
7                               356437648                     -5861262352   
8                               524850100                     -2961585834   
9                              1106407977                     -9038836271   

   Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                  0        
1                                                  0        
2                                                  0        
3                                                  0        
4                                                  0        
5                                                  0        
6                                                  0        
7                                                  0        
8                                                  0        
9                                          791869393        

   Lưu chuyển tiền từ hoạt động tài chính  
0                             -1400000000  
1                             -3000000000  
2                             -2900000000  
3                             -6172480000  
4                            -10420020000  
5                            -16767000000  
6                            -15632000000  
7                            -26726500000  
8                            -68214889894  
9                           -122330781713  
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  HSI  2022  5          0.000000       12430000000                  10000000   
1  HSI  2021  5          0.000000       11010000000                  10000000   
2  HSI  2020  5          0.000000       29000000000                  10000000   
3  HSI  2019  5         50.808796       23000000000                  10000000   
4  HSI  2018  5         20.739268       23000000000                  10000000   
5  HSI  2017  5         62.119765       23000000000                  10000000   
6  HSI  2016  5          0.000000       23000000000                  10000000   
7  HSI  2015  5          0.000000       23000000000                  10000000   
8  HSI  2014  5          2.540187       23000000000                  10000000   
9  HSI  2013  5          0.421715       23000000000                  10000000   

                                                                          \
         P/E       P/S P/Cash Flow    EPS (VND)   BVPS (VND)   EV/EBITDA   
0  -0.755998  0.061865   -4.133755 -1644.183269     0.000000  -27.758179   
1  -2.760707  0.046877    2.399427  -398.810928     0.000000   35.784948   
2 -12.508335  0.176132  -48.649158  -231.845400     0.000000   25.364830   
3 -35.043359  0.125866    2.728260   -65.632977    45.267753   18.464741   
4  18.927027  0.131106    3.503511   121.519351   110.900730   17.745493   
5   2.263543  0.135954    2.012131  1016.106086    37.025253   13.157223   
6   8.178242  0.096728    1.287833   281.234034     0.000000   15.651542   
7  -1.074146  0.054432    0.637124 -2141.235163     0.000000   37.994196   
8  -0.505664  0.077465    0.321592 -4548.472587   905.445290 -248.393060   
9  -0.303129  0.044350    0.181574 -7587.529926  5453.917877  -15.836145   

  Chỉ tiêu khả năng sinh lợi                                               \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)    ROE (%)  ROIC (%)   
0                  -0.008804               -0.081832   1.166331 -0.082215   
1                   0.045660               -0.016980   1.531101 -0.012601   
2                   0.079627               -0.014081  -4.226525 -0.006411   
3                   0.076046               -0.003592  -0.322372  0.001881   
4                   0.073151                0.006927   0.610794  0.000376   
5                   0.115702                0.060063  -3.151365  0.026168   
6                   0.079457                0.011827  -0.299459  0.018994   
7                   0.032466               -0.050675  25.724840 -0.011322   
8                   0.010797               -0.153194  -1.430481 -0.040102   
9                   0.026563               -0.146308  -0.820479 -0.061204   

                                                           \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng)   
0 -0.053973     -0.091889      -9145082422   -18462630977   
1 -0.012657     -0.013008       6991501316    -3055115936   
2 -0.007212     -0.009713      10741115278    -1599174884   
3 -0.002028      0.002622      14382112807      479120286   
4  0.003743      0.000560      15458156564       98316102   
5  0.030101      0.041943      21285078869     7095725854   
6  0.007621      0.022227      19137122423     5285046668   
7 -0.050502     -0.007803       8345394481    -3297212865   
8 -0.087636     -0.045615      -1407062346   -13543507744   
9 -0.107760     -0.053275     -26439921619   -27628660115   

