     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
5      6629157873           0.063492                    1.541156   
6      5484471301           0.079365                    1.390164   
7      4201865966           0.074074                    1.326077   
8      6049989804           0.068783                    1.296898   
9      5546054646           0.063492                    1.112241   
10     5333444170           0.079365                    1.153626   

                                                       \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.021857                0.800153   
1                    0.011987                0.469564   
2                    0.017815                0.518844   
3                    0.030649                0.558347   
4                    0.016391                0.404462   
5                    0.154858                0.480638   
6                    0.029168                0.530212   
7                    0.033496                0.566971   
8                    0.045150                0.652213   
9                    0.055102                0.556077   
10                   0.075714                0.672323   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                -15.063198          1.814832                    3.003002   
1                -17.080504          2.417230                    3.841224   
2                -19.276428          2.018538                    3.707692   
3                -15.973032          1.873373                    3.790697   
4                -20.028094          2.023016                    3.093712   
5                -12.289956          2.158492                    3.178573   
6                -13.596061          2.182534                    2.350028   
7                -17.567585          2.340554                    2.026934   
8                -14.089201          2.503100                    1.818642   
9                 -8.671434          3.922591                    2.583537   
10                -5.343049          2.866931                    1.336108   

                                                                        \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0       21.541852                  34.955125                 70.212221   
1       25.061541                  22.964438                 57.313375   
2       19.699290                  21.099741                 55.365724   
3       17.901136                  18.850236                 54.567920   
4       15.734674                  21.516324                 70.094134   
5       15.436782                  24.466860                 63.624687   
6        9.675817                  42.987121                 77.188909   
7        8.404016                  57.274066                 82.452007   
8        9.005609                  71.070299                 88.936969   
9       12.393262                  51.956762                 56.610615   
10       5.508912                 122.453426                 84.683220   

                                                                    \
   Số ngày thanh toán bình quân Chu kỳ tiền Vòng quay hàng tồn kho   
0                     45.732929  150.900276               5.198525   
1                     39.280429  119.558242               6.368496   
2                     37.785617  114.251082               6.592526   
3                     34.453373  107.871529               6.688912   
4                     50.072232  141.682690               5.207283   
5                     51.214017  139.305564               5.736767   
6                     66.648163  186.824193               4.728659   
7                     87.703393  227.429466               4.426818   
8                    128.853449  288.860717               4.104030   
9                     88.863362  197.430740               6.447554   
10                   170.714735  377.851380               4.310181   

   Chỉ tiêu cơ cấu nguồn vốn                                               
            (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   0.064313  0.814832       0.256872            1.757091  
1                   0.320762  1.417230       0.332829            1.646066  
2                   0.032741  1.018538       0.349620            1.540880  
3                   0.103884  0.873373       0.383599            1.505875  
4                   0.185920  1.023016       0.441868            1.463684  
5                   0.148117  1.158492       0.378826            1.416647  
6                   0.167041  1.182534       0.539444            1.032544  
7                   0.154108  1.340554       0.558803            1.000016  
8                   0.075049  1.503100       0.609514            0.983797  
9                   0.244853  2.922591       0.684758            0.952951  
10                  0.331506  1.866931       0.731870            0.943984  
