     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    Lãi lỗ trong công ty liên doanh, liên kết  Thu nhập/Chi phí khác  \
0                                           0           -46856664791   
1                                           0           -43957905520   
2                                           0           -39726901924   
3                                           0           -48952078496   
4                                           0           -41027070226   
5                                           0           -50401607352   
6                                           0           -64589455691   
7                                           0           -38711618277   
8                                           0           -39643368093   
9                                           0           -30805621733   
10                                34162948669           -29354112199   

    Giá vốn hàng bán  Chi phí bán hàng  Chi phí bán hàng  \
0     -1100229548971      -28405969805      -28405969805   
1     -1372947712665      -41992309244      -41992309244   
2     -1240906757687      -47426175320      -47426175320   
3     -2466895785688      -80754585630      -80754585630   
4     -3552850691159     -131908749890     -131908749890   
5     -5460139098731     -332452172593     -332452172593   
6     -4221630355218     -330661164672     -330661164672   
7     -4471244723035     -493211496150     -493211496150   
8     -4427785902697     -463382844443     -463382844443   
9     -4744396210008     -516931311589     -516931311589   
10    -3983219340890     -438264234479     -438264234479   

    Doanh thu bán hàng và cung cấp dịch vụ  Các khoản giảm trừ doanh thu  \
0                            1347408534073                  -21997155687   
1                            1675898484356                  -40351134558   
2                            1500558027543                  -39710697538   
3                            2731946330883                  -16406129448   
4                            3867634655588                  -13894219211   
5                            6471147716841                  -90436221212   
6                            5295139596064                  -70701792495   
7                            5700529107062                  -49999211613   
8                            5460388536037                   -2671182245   
9                            5939383706341                 -119062205986   
10                           4972184218795                 -145251540823   

    Lãi/lỗ từ công ty liên doanh  Thu nhập khác  Lợi nhuận khác  \
0                    50838535657    45248127404     -1608537387   
1                    80823533766    43104353282      -853552238   
2                   112134517518    43581992006      3855090082   
3                   154249575893    48995768110        43689614   
4                   117781631071    45627149517      4600079291   
5                    24458978902    54070836265      3669228913   
6                   106820312076    66922548319      2333092628   
7                    35670973338    45644348980      6932730703   
8                    30331336136    46065024291      6421656198   
9                    17203697480    46945407703     16139785970   
10                             0    55569893863     26215781664   

    LN trước thuế    Thuế TNDN  Chi phí thuế TNDN hiện hành  \
0     74174498877 -18565840162                 -18753734676   
1    134001310173 -19106723766                 -16479887158   
2    123211969345 -25239982553                 -17143560325   
3    103309835786 -39998746645                 -20775667496   
4     56849277220 -29578420381                 -17268698076   
5    200377435075 -41594958694                 -36059164912   
6    382967226124 -52121738627                 -30296706455   
7    491656913310 -67524952591                 -60053513725   
8    118292399811 -21473212414                 -15277879742   
9    126550588764 -22044899226                 -18569506309   
10    80242678129 -26590146737                 -11854257943   

    Chi phí thuế TNDN hoãn lại  Lợi nhuận thuần  Cổ đông của Công ty mẹ  \
0                    187894514      55608658715             55940407209   
1                  -2626836608     114894586407             98748681641   
2                  -8096422228      97971986792             98815171044   
3                 -19223079149      63311089141             56957103308   
4                 -12309722305      27270856839             15822213679   
5                  -5535793782     158782476381             73314266085   
6                 -21825032172     330845487497            229065688368   
7                  -7471438866     424131960719            343044457250   
8                  -6195332672      96819187397             71083236655   
9                  -3475392917     104505689538             88555507861   
10                -14735888794      53652531392             45372917804   

    Lãi cơ bản trên cổ phiếu  
0                        440  
1                        778  
2                        778  
3                        448  
4                         90  
5                        577  
6                       1804  
7                          0  
8                          0  
9                          0  
10                         0  
     CP   Năm  Tiền và tương đương tiền  \
0   FIC  2023               92098376931   
1   FIC  2022              213004880520   
2   FIC  2021              282576886376   
3   FIC  2020              155130659282   
4   FIC  2019              184101614749   
5   FIC  2018              416595245926   
6   FIC  2017              511015748305   
7   FIC  2016              274106294051   
8   FIC  2015              138155508420   
9   FIC  2014              190159233178   
10  FIC  2013              172207822641   

    Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện  Lãi/Lỗ từ hoạt động đầu tư  \
0                                  -2470871                -20864310684   
1                                    151385                -12325859030   
2                                 -11117176                -10672745021   
3                                  15190764                -32669174759   
4                                 -26235352                -20733974600   
5                                 -22868529                -42930967533   
6                               -1216276799                -84691686702   
7                                3752323236               -227869448634   
8                                 139653424                  3828319133   
9                                3778177468                 -6546175891   
10                              23938445995                 -3877611890   

    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0    48346843657                    4397790155                    4397790155   
1    33280151119                   13435434152                   13435434152   
2    47438871633                   67683305696                   67683305696   
3    87136655104                  280205430195                  280205430195   
4   102420627213                    2338049583                    2338049583   
5   177276548348                 -778276713278                 -778276713278   
6   185355787889                   -9920190905                   -9920190905   
7   210385801381                   40497071239                   40497071239   
8   199621158455                  -64653102882                  -64653102882   
9   188972734188                  -97411403881                  -97411403881   
10  198863616646                 -143918668272                 -143918668272   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0             -53783482511                   -8514276158   
1             -60764047640                  -31749330268   
2              81356576317                 -134873369430   
3             343502060703                 -359026215355   
4            -193305577338                  111918367627   
5            -120853549711                  702262710945   
6             -95614303939                  -99912147453   
7             -34120573307                  201501169690   
8            -198358907028                  598318740606   
9            -361575095371                 1669449714957   
