    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
7              26.636336                  0.000000  0.044587       0.016776   
8               3.090000                  0.959504  0.629872       0.516518   
9               0.000000                  0.468106  0.492715       1.363499   

                       
  Vốn CSH/Vốn điều lệ  
0            1.004909  
1            1.004478  
2            0.953129  
3            0.864624  
4            0.862846  
5            0.854713  
6            0.845923  
7            0.845324  
8            0.133045  
9            0.069684  
