    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
1              0             0                                 4509228   
2              0             0                                 3420824   
3              0    -120691000                                  746669   
4              0  -29752767521                               170779305   
5              0   -1785707916                               232473845   
6     4425985373   -7207211337                               817169893   
7     5102575457   -6738401746                              2871086084   
8     4525235991  -10187990732                              3685365846   
9     4363049298   -5720339475                              3156002376   

   Lưu chuyển từ hoạt động đầu tư  Lưu chuyển tiền từ hoạt động tài chính  \
0                        51998899                             -7773467500   
1                       459054682                             24707294200   
2                         3420824                              2996594700   
3                      -119944331                              3633813000   
4                    -29581988216                             14802189221   
5                     -1553234071                            -42058391830   
6                     -6390041444                            -17810521376   
7                     -3867315662                             10520414086   
8                     -6502624886                               549041636   
9                     -2564337099                              7218979837   

   Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                                  0                        
1                                                  0                        
2                                                  0                        
3                                                  0                        
4                                                  0                        
5                                                  0                        
6                                                  0                        
7                                        40000000000                        
8                                        48000000000                        
9                                                  0                        

   Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                  0           
1                                                  0           
2                                                  0           
3                                                  0           
4                                                  0           
5                                                  0           
6                                                  0           
7                                       -40000000000           
8                                       -48000000000           
9                                                  0           
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  FGL  2023  5          2.479292      148230630000                  14676300   
1  FGL  2022  5          2.539878      183453750000                  14676300   
2  FGL  2021  5          1.889986      183453750000                  14676300   
3  FGL  2020  5          2.005506      183453750000                  14676300   
4  FGL  2019  5          1.221869      154101150000                  14676300   
5  FGL  2018  5          1.040496      154101150000                  14676300   
6  FGL  2017  5          0.158225       22688114942                   2160773   
7  FGL  2016  5          0.867946       24970150762                   2378110   
8  FGL  2015  5          0.880294       24970150762                   2378110   
9  FGL  2014  5          0.866910       20616058495                   1963434   

                                                                              \
          P/E        P/S P/Cash Flow    EPS (VND)    BVPS (VND)    EV/EBITDA   
0  -11.913848  13.081802   18.008595  -847.752949   4073.743003    40.896363   
1   -7.386357  13.251991   -7.193292 -1692.309196   4921.495951  1109.062479   
2  424.118332   4.699836  -56.147932    29.472907   6613.805147    28.685326   
3   -5.295368  16.969346  -59.660915 -2009.060986   6232.839537    -9.379356   
4   -7.009593   3.385398   38.085349 -1497.947105   8593.393227   -63.431522   
5   -9.394482   1.535705    3.911878 -1117.677363  10091.340331   -29.362407   
6   -1.384823   0.110419    0.728463 -7582.196401  66361.188970    -8.455382   
7   61.877200   0.093123   -1.285822   169.690908  12097.521691    23.273088   
8    3.982136   0.095689    1.193352  2636.775313  11927.830754     7.282710   
9    3.259158   0.067721   -1.152181  3221.691245  12111.990645     8.640333   

  Chỉ tiêu khả năng sinh lợi                                              \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   
0                  -0.017607               -1.098033 -0.188066 -0.043244   
1                  -0.357687               -1.794117 -0.291978 -0.073198   
2                   0.061865                0.011081  0.004442 -0.018667   
3                  -1.237324               -2.719393 -0.317029 -0.187485   
4                  -0.121896               -0.482966 -0.160186 -0.078910   
5                   0.021843               -0.163469 -0.112465 -0.049291   
6                  -0.032478               -0.079735 -0.189962 -0.061100   
7                   0.021774                0.001505  0.014139 -0.009002   
8                   0.047505                0.024030  0.240485  0.055783   
9                   0.043151                0.020779  0.265907  0.056271   

                                                           \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng)   
0 -0.078416     -0.451182       5036922589    -5112370085   
1 -0.138398     -0.733608        224963016   -10155692134   
2  0.002274     -0.066520       7824685558    -2596541042   
3 -0.174946     -1.773916     -23538050235   -19234054786   
4 -0.092909     -0.279837      -2964738493   -12738000938   
5 -0.069186     -0.082528      -5535041887    -8281312108   
6 -0.098069     -0.061227      -8154546625   -12580531998   
7  0.003468     -0.003648       4124376306     -978199151   
8  0.056059      0.020895       9977714140     5452478149   
9  0.056768      0.017121       9575147425     5212098127   

         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    0.744005                   0.014218   
1                    0.616811                   0.002466   
2                    0.629820                   0.006228   
3                    0.306380                   0.008457   
4                    0.400715                   0.010640   
5                    0.863640                   0.103475   
6                    0.518576                   0.227063   
7                    0.816095                   0.099432   
8                    0.883334                   0.276577   
9                    0.957497                   0.088832   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                0.701441                 0.685129          2.512595   
1                0.586295                 1.436589          2.304129   
2                0.582582                 0.541364          1.965197   
3                0.280643                 3.859642          1.941673   
4                0.325250                 2.571455          1.680894   
5                0.672002                 2.089201          1.761085   
6                0.408875                 2.229150          1.486084   
7                0.222567                 0.201038          4.194272   
8                0.523743                -0.948685          3.959150   
9                0.684125                -1.048538          4.684067   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    0.071415       0.097477                 364.459128   
1                    0.077140       0.108618                 480.513957   
2                    0.205196       0.281224                 203.669273   
3                    0.054593       0.072209                   1.018788   
4                    0.192372       0.292632                 131.505910   
5                    0.423237       0.635762                 119.089510   
6                    1.229934       2.070980                   1.087414   
7                    2.304124       7.118416                   1.666536   
8                    2.332921       7.393818                   9.837012   
9                    2.732071       9.006891                  15.396309   

                                                                      \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  9.743955                     8.306970  382.510053   
1                 21.404804                   131.404410  633.323171   
2                 46.348115                   190.249311  440.266700   
3                 30.325324                   181.628761  212.972873   
4                 86.388331                    56.738215  274.632456   
5                 47.431246                     3.087275  169.608032   
6                 48.883084                     1.374653   51.345151   
7                 53.805093                     2.987696   58.459325   
8                 33.533290                     2.799087   46.169389   
9                 24.236615                     1.143265   40.776189   

                         Chỉ tiêu cơ cấu nguồn vốn                           \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0              37.459122                  1.684371  1.512595       1.857993   
1              17.052247                  1.274164  1.304129       1.673894   
2               7.875185                  0.425261  0.965197       1.367797   
3              12.036145                  0.414002  0.992701       1.483158   
4               4.225108                  0.275572  0.680894       1.227284   
5               7.695349                  0.135676  0.761085       1.053099   
6               7.466796                  0.432148  0.486084       1.112052   
7               6.783744                  2.852930  3.194272       1.342231   
8              10.884706                  2.640455  2.959150       1.297105   
9              15.059859                  3.398073  3.684067       1.420824   

                       
  Vốn CSH/Vốn điều lệ  
0            0.407341  
1            0.494210  
2            0.664993  
3            0.662046  
4            0.862274  
5            1.007990  
6            0.979604  
7            0.195700  
8            0.193240  
9            0.162089  
