     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                    43200000   
5                                           0   
6                                           0   
7                                           0   
8                                           0   
9                                           0   
10                                          0   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                  -199600000   
1                                 -1734287948   
2                                 -1639207648   
3                                 -2247374123   
4                                 -1849799182   
5                                 -1011571394   
6                                  -726232299   
7                                  -462476272   
8                                  -217238300   
9                                           0   
10                                          0   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                      4150121382   
1                                    -24400349376   
2                                     16790369279   
3                                      4317909156   
4                                      9174744867   
5                                      8737023232   
6                                     24034079745   
7                                     11707165446   
8                                     18403592841   
9                                     22901141822   
10                                     2906119428   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                   525463889   
1                                   520361633   
2                                   309090909   
3                                           0   
4                                   327456908   
5                                   107272727   
6                                   134309091   
7                                   625454545   
8                                  1016363636   
9                                    72727272   
10                                          0   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                          4350706152             
1                                                   0             
2                                                   0             
3                                                   0             
4                                          1800000000             
5                                          1308580000             
6                                                   0             
7                                           867500000             
8                                                   0             
9                                          3000000000             
10                                        10990000000             

    Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  \
0                                0                -7465000000   
1                      17600000000                -3860500000   
2                                0                -3554428209   
3                       2367200000                -9677181850   
4                       9405285000                -9080500000   
5                      10358893822                -9458084000   
6                       1611600000                -7847000000   
7                      10349184277                -5858000000   
8                       7498487385                -6398558799   
9                      11732461673               -12018169689   
10                     23801362782                -8744087583   

    Tiền thanh toán vốn gốc đi thuê tài chính  Cổ tức đã trả  \
0                                           0              0   
1                                           0     -120881360   
2                                 -9574383400              0   
3                                 -9660812120              0   
4                                           0   -14021531300   
5                                           0    -6183800000   
6                                           0    -4240320000   
