    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
5  18.742416  0.350850     -7.914234   878.786834  12435.831060   0.541585   
6  22.661548  0.388033     46.937939   726.803236  12133.077761   0.696207   
7  21.419498  0.432302      5.012309   653.610090  12821.091004   0.763664   
8  21.324105  0.503678      5.089879   656.534014  12858.377234  12.038758   

  Chỉ tiêu khả năng sinh lợi                                              \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   
0                   0.151626                0.042593  0.021941  0.023960   
1                   0.136307                0.033138  0.019967  0.023736   
2                   0.130263                0.032412  0.017783  0.018302   
3                   0.143909                0.035414  0.016531  0.015312   
4                   0.164121                0.029267  0.012274  0.013363   
5                   0.141309                0.022023  0.009308  0.011288   
6                   0.140402                0.020145  0.007400  0.010705   
7                   0.152587                0.020183  0.008950  0.010585   
8                   0.162343                0.023620  0.014109  0.015288   

                                                                              \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0  0.020278      0.046766      21939755723    13696824304           0.064534   
1  0.017805      0.038662      81042878843    13421456321           0.078689   
2  0.015531      0.033011      16663945385    10740503877           0.022596   
3  0.014759      0.032534      67997228876     9174506094           0.052000   
4  0.011387      0.033446      67924629904     8139286513           0.055143   
5  0.008630      0.026327      65968020203     6303197544           0.050214   
6  0.006693      0.029439      64802422245     6372936827           0.041500   
7  0.007713      0.033660      59838037828     6540490461           0.037357   
8  0.011307      0.028130       4691400638     4691400638           0.037500   

         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    2.438496                   0.965129   
1                    1.862965                   0.844474   
2                    1.744277                   1.079238   
3                    1.737702                   1.214891   
4                    2.287613                   1.693236   
5                    2.994713                   1.905629   
6                    2.398825                   1.342406   
7                    1.965281                   1.166841   
8                    2.142572                   1.329559   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                2.277475                 0.000000          1.060862   
1                1.787895                 0.000000          1.103407   
2                1.702825                 0.000000          1.138812   
3                1.711883                 0.000000          1.151129   
4                2.254220                -4.628450          1.089520   
5                2.929716                -2.594383          1.065054   
6                2.275089                -2.265474          1.091325   
7                1.865671                -2.049635          1.119501   
8                2.005416                -3.178869          1.247755   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    0.476082       0.582920                  43.593293   
1                    0.537279       0.688018                  38.713089   
2                    0.479165       0.629334                  35.503426   
3                    0.416739       0.530973                  33.978954   
4                    0.389065       0.469672                  35.277306   
5                    0.391860       0.461207                  37.696112   
6                    0.332254       0.393406                  45.416864   
7                    0.382169       0.478345                  47.430479   
8                    0.478719       0.664359                  46.810840   

                                                                      \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  4.448696                    11.916622   59.958611   
1                  2.976193                     6.233793   47.923074   
2                  2.904450                     7.025537   45.433413   
3                  3.083594                     6.729707   43.792255   
4                  3.222953                     4.401853   42.902113   
5                  5.921967                     2.158674   45.776753   
6                  9.631427                     0.839736   55.888028   
7                 10.093759                     2.915907   60.440144   
8                 10.736519                     5.135702   62.683061   

                         Chỉ tiêu cơ cấu nguồn vốn                           \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0              82.046510                  0.000000  0.060862       0.882972   
1             122.639913                  0.000000  0.103407       0.884445   
2             125.669251                  0.000000  0.138812       0.867354   
3             118.368389                  0.000000  0.151129       0.876176   
4             113.250169                  0.000000  0.089520       0.881973   
5              61.634930                  0.025082  0.065054       0.904967   
6              37.896771                  0.047578  0.091325       0.927183   
7              36.160960                  0.069495  0.119501       0.940135   
8              33.996122                  0.198177  0.247755       0.899098   

                       
  Vốn CSH/Vốn điều lệ  
0            9.527639  
1            9.424118  
2            9.780915  
3            9.986297  
4           10.151304  
5            9.191742  
6            9.691269  
7            9.952300  
8            4.653346  
