     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
8                   33999816    21.799017  0.112308    3.707438   220.193412   
9                   33999816    -2.310779  0.077743    1.708628 -2077.221409   
10                  20885687   847.827792  0.066295   -1.878509     5.661527   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0    2441.425940  28.794573                   0.163813   
1    2401.725496  22.068197                   0.164754   
2    2397.555535 -48.472164                   0.070524   
3    3169.464719  -8.806051                   0.081218   
4    4608.069802 -45.396917                   0.086812   
5    5217.354039 -26.500699                   0.102494   
6    6271.365174  -2.025890                   0.003914   
7    8930.497207 -73.833732                   0.026050   
8    5657.424601  50.040849                   0.067528   
9    5437.231190  10.112950                   0.033499   
10  11016.625335 -12.367056                   0.039326   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.002503  0.016394 -0.078446  0.001408     -0.012251   
1                 0.000271  0.001738 -0.051330  0.000145     -0.008142   
2                -0.021998 -0.277315 -0.438759 -0.026016     -0.030419   
3                -0.047415 -0.369939 -0.503622 -0.047049     -0.053195   
4                -0.021776 -0.124022 -0.267291 -0.019083     -0.044358   
5                -0.045835 -0.183486 -0.253660 -0.031470     -0.057940   
6                -0.062303 -0.300867 -0.548139 -0.062196     -0.086353   
7                -0.068111 -0.315355 -0.146692 -0.087986     -0.067392   
8                 0.005152  0.039694 -0.009397  0.016788     -0.002772   
9                -0.033644 -0.340399 -0.183475 -0.175810     -0.034539   
10                0.000078  0.000513 -0.055064  0.000340     -0.012039   

                                          Chỉ tiêu thanh khoản  \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Chỉ số thanh toán hiện thời   
0        6415270283    -4956983556                    0.431778   
1        8644655588    -3191535745                    0.304189   
2       -2705767204   -27234116847                    0.374791   
3      -13781354078   -41178732650                    0.299816   
4       -2638598940   -31665849241                    0.331571   
5       -4372036081   -33994106105                    0.343660   
6      -58288889560   -88199124386                    0.368739   
7       -4817726019   -71041551924                    0.936118   
8        6115196995    -4028197198                    0.962623   
9       34682109671   -72504735808                    0.861036   
10     -14435079476   -18205173172                    2.047602   

                                                       \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.224245                0.315220   
1                    0.111676                0.161534   
2                    0.020196                0.098002   
3                    0.017427                0.078430   
4                    0.032945                0.089975   
5                    0.056432                0.109680   
6                    0.035771                0.133928   
7                    0.020342                0.175893   
8                    0.356047                0.433592   
