    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
1                                          0   
2                                          0   
3                                          0   
4                                          0   
5                                          0   
6                                          0   
7                                          0   
8                                  100000000   
9                                  118181818   

   Đầu tư vào các doanh nghiệp khác  \
0                                 0   
1                       -4500000000   
2                                 0   
3                                 0   
4                                 0   
5                                 0   
6                       -2560500000   
7                       -1707000000   
8                       -1601237414   
9                                 0   

   Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                                  0             
1                                                  0             
2                                                  0             
3                                                  0             
4                                         1870070000             
5                                         5377560000             
6                                                  0             
7                                                  0             
8                                                  0             
9                                                  0             

   Tiền thu được các khoản đi vay  Tiền trả các khoản đi vay  Cổ tức đã trả  \
0                    308700878872              -304199264222    -3811365180   
1                    245117175102              -225358842896    -6041415040   
2                    269530214141              -345563930004    -5622098900   
3                    295732180886              -297076605755    -7301717400   
4                    418638529417              -431155131898    -7301667350   
5                    419964963435              -396483105506    -5366832800   
6                    205977401296              -254717655959    -3354270500   
7                    334203078065              -389318037200    -5366832800   
8                    494331471597              -485602892313    -6708541002   
9                    504620711099              -496419406466    -6418822700   

   Lưu chuyển tiền thuần trong kỳ  Ảnh hưởng của chênh lệch tỷ giá  \
0                     14372071315                        248275000   
1                    -20327146947                         34011608   
2                      3011172330                        151468497   
3                     -4983517500                        292058387   
4                     23244945404                                0   
5                    -16582421751                         40248788   
6                     16790716887                                0   
7                    -54160508764                                0   
8                     31288668432                                0   
9                      2519918384                                0   

   Tiền và tương đương tiền cuối kỳ  Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0                       21895265499     3825443168                     0   
1                        7274919184     5218533773                     0   
2                       27568054523     5494072524                     0   
3                       33064793825     1309896241                     0   
4                       37839985405      705002347                     0   
5                       14595040001     1066984217           -1191441383   
6                       31072710541     1270591543            1191441383   
7                       14281993654     1406035670                     0   
8                       68442502418     1673897444                     0   
9                       37153833986     2575129430             -31634150   

   Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                       36298307548    -518400000   
1                                       34221802826   -5739225475   
2                                       34322267454   -1355603090   
3                                       27236962102  -17523644297   
