     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0    47360152309                   55248787029                   55248787029   
1    27208416772                 -440793338232                 -440793338232   
2    15206199314                   29995368872                   29995368872   
3    27600720073                   15142821406                   15142821406   
4    50697479620                  267235785998                  267235785998   
5    51794044855                  -34444211727                  -34444211727   
6    55032837062                   31541522711                   31541522711   
7    32490128385                 -108509524293                 -108509524293   
8    23496979291                  -92214616279                  -92214616279   
9    30332375619                  -54394506588                  -54394506588   
10   30031562717                  -95340515795                  -95340515795   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0             362083346229                 -205771800700   
1            -180879257920                   72707209953   
2              43158051034                  124147141589   
3             130939446219                   52489703017   
4              41982519789                  -23107086207   
5             241624790836                  -82942415548   
6             168093509062                 -225285396056   
7            -204477415633                  135809534297   
8             -42041027676                    1229673370   
9             -58111496849                   39328863672   
10            -26492455541                   52235575679   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                  -205771800700                   -182758909   
1                    72707209953                    882844521   
2                   124147141589                    367007530   
3                    52489703017                  -1033832654   
4                   -23107086207                   1029839582   
5                   -82942415548                   3562180612   
6                  -225285396056                    711336364   
7                   135809534297                  -3711137357   
8                     1229673370                  12597863019   
9                    39328863672                  -4291105835   
10                   52235575679                  -1885377368   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0             -47815824937                        -9410660240   
1             -26520383895                        -7747899178   
2             -14886983444                       -11050923578   
3             -28021547174                         -556815370   
4             -51023585917                       -10948197626   
5             -53680489816                       -12425688917   
6             -57013216294                       -29450846069   
7             -32815594218                       -17915415605   
8             -20965499884                       -13392808955   
9             -27180422310                        -8328895045   
10            -30890601307                        -9574219499   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                     3000000   
3                                  2000000000   
4                                           0   
5                                           0   
6                                   150000000   
7                                   142022304   
8                                   215000000   
9                                           0   
10                                          0   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                 -5967235994   
1                                 -3589998786   
2                                 -2237718955   
3                                 -5644610000   
4                                -14749859083   
5                                 -7811321999   
6                                 -6062684000   
7                                 -6288833030   
8                                 -5060778636   
9                                 -6858944908   
10                                -8412621588   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                    220227867479   
1                                   -525411832617   
2                                    215007305551   
3                                    213512201530   
4                                    288712699972   
5                                    164735750042   
6                                    -20945624666   
7                                   -143909863786   
8                                    -47993940527   
9                                     21293502220   
10                                    39324221685   

    Tiền thu được từ thanh lý tài sản cố định  Tiền thu được các khoản đi vay  \
0                                           0                   2644275936833   
1                                  5945851895                   4362500000000   
2                                           0                   1819100000000   
3                                           0                   1121000000000   
4                                    50000001                   2010650000000   
5                                           0                   2975700000000   
6                                 91113203454                   3826893754708   
7                                           0                   3017261629592   
8                                           0                   1590000000000   
9                                  3038981818                   1430000000000   
10                                 1714548755                   1380000000000   

    Tiền trả các khoản đi vay  Tiền thanh toán vốn gốc đi thuê tài chính  \
0              -2825652307695                                          0   
1              -3933000000000                                  -43750000   
2              -1924100000000                                 -525000000   
3              -1369000000000                                 -525000000   
4              -2194250000000                                 -525000000   
5              -3095461408754                                 -756408182   
6              -3636743542606                                          0   
7              -2785438264190                                          0   
8              -1429743046360                                          0   
9              -1302303757500                                          0   
10             -1499487587614                                          0   

    Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0     -9337868400                     29564993229   
1               0                    -90214327460   
2    -11953367050                     97444089010   
3               0                    -36369186594   
4    -30047033450                     13848089203   
5    -63320087600                    -79987019547   
6    -54728299800                     84702327771   
7    -36522819600                    -79092664869   
8    -23465874900                   -108336721781   
9    -24887396600                     26102670434   
10   -12522347700                    -90834526754   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                                 0                       41390410048   
1                                 0                       11825416819   
2                                 0                      102039744279   
3                                 0                        4595655269   
4                                 0                       40964841863   
5                           7439720                       27116752660   
6                         -32667204                      107096332487   
7                           9417235                       22426671920   
8                         305116877                      101509919554   
9                          73521559                      209541524458   
10                        432142981                      183365332465   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0     11617762367                     0   
1     11746906342                     0   
2     12116915114                     0   
3     12203734052                     0   
4     11312129365                     0   
5      8217147643                     0   
6      1185912217                     0   
7       506247465           -5500000000   
8     38508860768            5500000000   
9     69095217964             -80082785   
10   103801600509                     0   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                        72044015001             0   
1                                        60528990920    -246231596   
2                                        45512362503     -98483944   
3                                        48197036086   -1396254615   
4                                        78293283436  -60802765135   
5                                       110852906601  -61145407936   
6                                        96370149616 -121202852717   
7                                        93856499749 -130863456288   
8                                       111638254514 -198239517720   
9                                       141130010083 -103563680857   
10                                      159684437104   -5831941088   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                 51365012                        51365012   
1                                 41634858                      5741255157   
2                                 13634453                       -84849491   
3                                 39866491                     -1356388124   
4                                 60187815                    -60692577319   
5                                260542883                    -60884865053   
6                                315689398                    -29773959865   
7                                380109403                   -130483346885   
8                               1105657726                   -197133859994   
9                               2525021353                    -97999677686   
10                              5968579208                      1851186875   

    Lưu chuyển tiền từ hoạt động tài chính  
0                            -190714239262  
1                             429456250000  
2                            -117478367050  
3                            -248525000000  
4                            -214172033450  
5                            -183837904536  
6                             135421912302  
7                             195300545802  
8                             136791078740  
9                             102808845900  
10                           -132009935314  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   VTV  2023  5          0.318200      131039265000   
1   VTV  2022  5          0.292927      124799300000   
2   VTV  2021  5          0.331818      137279230000   
3   VTV  2020  5          0.737844      296398337500   
4   VTV  2019  5          0.556498      230878705000   
5   VTV  2018  5          0.525903      230878705000   
6   VTV  2017  5          0.478029      230878705000   
7   VTV  2016  5          0.535042      230878705000   
8   VTV  2015  5          0.556116      230878705000   
9   VTV  2014  5          0.287590      115440000000   
10  VTV  2013  5          0.297553      115440000000   

                                                                              \
   Số CP lưu hành (Triệu CP)          P/E       P/S P/Cash Flow    EPS (VND)   
0                   31199825   292.340952  0.045993    0.595017   169.740254   
1                   31199825    13.288849  0.028046   -0.237527   619.371411   
2                   31199825    19.005557  0.068022    0.638486   449.820150   
3                   31199825  2469.986146  0.197440    1.388203    64.873352   
4                   31199825    21.531413  0.106415    0.799683   413.930292   
5                   31199825     9.891217  0.067036    1.401509   999.891377   
6                   31199825     2.263761  0.059301  -11.022765  3669.761268   
7                   31199825     4.527784  0.070799   -1.604329  1847.495794   
8                   31199825     6.329769  0.073252   -4.810580  1330.142590   
9                   15600000     3.135239  0.033839    5.421372  2360.266312   
10                  15600000     4.658184  0.034618    2.935595  1588.601858   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   13199.226256   8.192391                   0.098236   
1   13655.295522  14.717389                   0.093298   
2   13260.290755   6.826270                   0.103133   
3   12875.343957  14.027950                   0.105657   
4   13297.436887  10.842513                   0.117635   
5   14071.037669   7.793425                   0.103627   
6   15480.231872  17.634093                   0.083914   
7   13830.684179   9.727077                   0.106106   
8   13306.570870   5.987775                   0.109580   
9   25731.045573   1.642948                   0.106649   
10  24869.483723   0.839181                   0.108485   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.001859  0.012641  0.066080  0.004185      0.021104   
1                 0.004343  0.046023  0.038080  0.016026      0.009461   
2                 0.006954  0.034422  0.044707  0.014868      0.014704   
3                 0.001348  0.004957  0.044825  0.001951      0.022612   
4                 0.005952  0.030249  0.060766  0.010071      0.028539   
5                 0.009058  0.067672  0.097021  0.020162      0.034572   
6                 0.029408  0.250402  0.041193  0.069185      0.014700   
7                 0.017676  0.136159  0.082384  0.039302      0.028995   
8                 0.013167  0.101646  0.071139  0.033253      0.020303   
9                 0.010793  0.093290  0.097742  0.033932      0.020788   
10                0.007432  0.064205  0.084420  0.025019      0.014795   

                                                       \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0       71746147855    60128385488           0.023810   
1       53846093413    42099187071           0.075000   
2       41791965446    29675050332           0.000000   
3       46148683450    33944949398           0.000000   
4       73230958764    61918829399           0.040541   
5      127284299184   119067151541           0.202703   
6       58417735059    57231822842           0.337838   
7       95060751659    94554504194           0.202703   
8      102501616999    63992756231           0.135135   
9      140010166128    70914948164           0.135135   
10     153136502574    49334902065           0.135135   

          Chỉ tiêu thanh khoản                             \
   Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                     1.384815                   0.068196   
1                     1.239046                   0.011931   
2                     1.440802                   0.210927   
3                     1.370649                   0.009373   
4                     1.280366                   0.061376   
5                     1.216173                   0.028636   
6                     0.977811                   0.095085   
7                     1.056847                   0.019251   
8                     1.187921                   0.121175   
9                     1.283272                   0.278927   
10                    1.788718                   0.398081   

                                                                       \
