     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
3                                                   0        
4                                                   0        
5                                                   0        
6                                                   0        
7                                         67999983500        
8                                                   0        
9                                                   0        
10                                                  0        

    Lưu chuyển tiền từ hoạt động tài chính  \
0                              28300197131   
1                             -18868928267   
2                             -14810117804   
3                             -11199387905   
4                             -38495755113   
5                              48531624563   
6                             -13492327681   
7                              52865575684   
8                             -11645507557   
9                             -30953222774   
10                            -42210669781   

    Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                                   0                        
1                                         20000000000                        
2                                                   0                        
3                                                   0                        
4                                                   0                        
5                                                   0                        
6                                                   0                        
7                                                   0                        
8                                                   0                        
9                                                   0                        
10                                                  0                        

    Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                   0           
1                                                   0           
2                                        -15000000000           
3                                                   0           
4                                                   0           
5                                          -420000000           
6                                                   0           
7                                                   0           
8                                                   0           
9                                                   0           
10                                                  0           
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   V21  2023  5          0.590611       71998734000   
1   V21  2022  5          0.610593       74398691800   
2   V21  2021  5          0.337414       40799282600   
3   V21  2020  5          1.423138      166797067100   
4   V21  2019  5          0.954462      110398058800   
5   V21  2018  5          0.937061      110398058800   
6   V21  2017  5          0.914075      110398058800   
7   V21  2016  5          1.201960      110398058800   
8   V21  2015  5          0.734579       36800000000   
9   V21  2014  5          0.524773       15640000000   
10  V21  2013  5          0.416951       15640000000   

                                                                              \
   Số CP lưu hành (Triệu CP)          P/E       P/S P/Cash Flow    EPS (VND)   
0                   11999789  1220.152950  0.669073   -2.837348     4.917416   
1                   11999789    80.094639  1.215263   -2.428062    77.408427   
2                   11999789    10.985491  0.325094    0.741369   309.499136   
3                   11999789   144.996716  1.024850   16.740838    95.864240   
4                   11999789   166.950045  0.291970    2.983507    55.106304   
5                   11999789   -37.264849  1.348004   -2.243098  -246.881453   
6                   11999789     3.816396  0.525678   -3.417185  2410.651263   
7                   11999789    65.691824  0.689369  -23.079437   140.047869   
8                    4000000    57.192744  0.220601    2.614179   240.796636   
9                    1700000    -2.046457  0.064479    0.697885 -4495.575378   
10                   1700000   127.476032  0.077467    0.480308    72.170429   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   10158.974808  40.144200                   0.103771   
1   10154.057391  37.850643                   0.080656   
2   10076.648965   5.771128                   0.051470   
3    9767.149829  27.645182                   0.091528   
4    9638.935787   8.213849                   0.093817   
5    9817.934340  56.525055                   0.182114   
6   10064.815793   4.187001                   0.040380   
7    7654.164530  10.553947                   0.111299   
8   12524.183568   8.922454                   0.103727   
9   17531.402725  15.891238                   0.080326   
10  22064.926125   8.932508                   0.097810   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.000548  0.000484  0.009832  0.000184      0.015694   
1                 0.015173  0.007653  0.008741  0.002846      0.020478   
2                 0.029593  0.031194  0.046432  0.009606      0.059696   
3                 0.007068  0.009880  0.038495  0.002699      0.040789   
4                 0.001749  0.005664  0.108264  0.001225      0.052143   
5                -0.036174 -0.024834  0.008976 -0.005637      0.024413   
6                 0.137742  0.272098  0.198798  0.078365      0.167725   
7                 0.010494  0.023679  0.055305  0.005155      0.055860   
8                 0.005774  0.024110  0.061687  0.003031      0.049970   
9                -0.031508 -0.227070  0.015644 -0.021159      0.008158   
10                0.000608  0.003183  0.067689  0.000291      0.055369   

                                          Chỉ tiêu thanh khoản  \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Chỉ số thanh toán hiện thời   
0        2852345852     1688877472                    1.282111   
1        2443163343     1253646682                    1.289192   
2        8841222707     7491890578                    1.285927   
3        7848882894     6638465074                    1.379193   
4       20831214261    19716081596                    1.260203   
5        3684783955     1999363069                    1.267899   
6       37675211710    35224094668                    1.304150   
7       11897169686     8945543026                    1.186662   
8       12780761554     8335885884                    1.021698   
9        6732190943     1978745548                    0.949763   
10      14505848588    11178474873                    1.166004   

                                                       \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.040506                0.786512   
1                    0.019948                0.838482   
2                    0.159978                0.947479   
3                    0.017976                0.890664   
4                    0.019184                0.828630   
5                    0.014349                0.606887   
6                    0.034093                0.999443   
7                    0.210640                0.876219   
8                    0.031185                0.656714   
9                    0.017757                0.498807   
10                   0.047607                0.488761   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                 -0.532754          2.653240                    0.335987   
1                 -0.437247          2.602570                    0.187592   
2                 -2.150933          2.775276                    0.324616   
3                 -1.593344          3.734015                    0.381848   
4                 -2.691451          3.586269                    0.700611   
5                 -0.403056          5.640939                    0.155828   
6                 -6.452362          3.200583                    0.568929   
7                 -1.531380          3.829301                    0.491278   
8                 -1.217099          5.993055                    0.524923   
9                 -0.240729         11.252175                    0.671538   
10                -1.020376         10.318431                    0.478799   

                                                                        \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0        4.568777                 146.429862                260.292190   
1        2.521509                 353.736509                396.372033   
