     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    Thu nhập lãi  Tăng/Giảm các khoản phải thu  Tăng/Giảm các khoản phải thu  \
0     2187103487                   -2622577396                   -2622577396   
1     1274536771                     382354770                     382354770   
2      863609908                    -820461108                    -820461108   
3      525702494                   -1828415748                   -1828415748   
4      714404101                    6344252861                    6344252861   
5      650706368                   -1553668907                   -1553668907   
6      967356691                   -3664256658                   -3664256658   
7      611939888                    3324285618                    3324285618   
8      380024056                   -4552885550                   -4552885550   
9      307771171                    2516626810                    2516626810   
10     252512940                    -195210243                    -195210243   

    Tăng/Giảm hàng tồn kho  Tăng/Giảm các khoản phải trả  \
0              -1102370219                   -5857128864   
1               1080709604                   -3826390113   
2               1384690167                  -11258864652   
3              -7397812242                    6109594116   
4               9065815906                   -4605255818   
5             -11524887185                    -819880453   
6              -4136040650                    -320517906   
7              -1077200066                    2874627145   
8              -5658825246                   -2796043092   
9               5864782430                   -1848559321   
10             -5861007981                   -6014748227   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                    -5857128864                  -1957858542   
1                    -3826390113                   -144745054   
2                   -11258864652                    116713959   
3                     6109594116                    -13342621   
4                    -4605255818                     70100295   
5                     -819880453                    429039610   
6                     -320517906                    259592078   
7                     2874627145                   -881845153   
8                    -2796043092                     34542046   
9                    -1848559321                     38362648   
10                   -6014748227                    121445263   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0              -2187103487                         -774447705   
1              -1276001952                         -983326324   
2               -863609908                         -766708443   
3               -525702494                         -807071749   
4               -714404101                         -720173715   
5               -650706368                        -1789287162   
6               -967356691                         -923290097   
7               -611939888                        -1195122808   
8               -380024056                         -827641189   
9               -307771171                         -739750705   
10              -252512940                         -982670439   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                           0   
6                                           0   
7                                           0   
8                                           0   
9                                           0   
10                                    5000000   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                    -4615878   
1                                  -758513000   
2                                  -235963000   
3                                  -103775000   
4                                  -165340000   
5                                  -216745001   
6                                  -169235000   
7                                  -114159000   
8                                  -253876000   
9                                  -116655727   
10                                 -219840000   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     -6194257569   
1                                      3163660097   
2                                     -4761764846   
3                                      1499543096   
4                                     16242464332   
5                                     -9647872707   
6                                     -3133527280   
7                                      8583836442   
8                                     -7718218520   
9                                     11274263417   
10                                    -7275384819   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                           0   
1                                   653636363   
2                                   109090909   
3                                   378181819   
4                                    45454545   
5                                 17468181818   
6                                           0   
7                                  3561818182   
8                                           0   
9                                   109617273   
10                                 1329680893   

    Chi trả cho việc mua lại, trả cổ phiếu  Tiền thu được các khoản đi vay  \
0                                        0                    134323351575   
1                                        0                     93841254394   
2                                        0                    113508223775   
3                                        0                    102366765721   
4                                        0                    113670629724   
5                                        0                    128598364591   
6                                        0                    141853388758   
7                                        0                    157055047216   
8                                        0                     82191932353   
9                              -2162020000                     67149472401   
10                                       0                     66754856510   

    Tiền trả các khoản đi vay  Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0               -123732870918    -2161308000                      1068333367   
1                -92980323549    -2704150790                      -904722780   
2               -106019313212    -2846186500                      -410254360   
3                -99828447671    -2683783000                      -450735868   
4               -124274432775    -5333221000                     -2812125094   
5               -130988536198    -2188198000                      1652632513   
6               -132807941363    -3454636500                      1720965434   
7               -161465310853    -2534708650                       235539610   
8                -69095838383     1886424750                     -1338142363   
9                -70842717656    -1910425675                      3679043260   
10               -64858826126    -1566993800                      -247748178   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                                 0                        4361900601   
1                                 0                        3293567234   
2                                 0                        4198290014   
3                                 0                        4608544374   
4                           -612329                        5059280242   
5                             59267                        7872017665   
6                                 0                        6219325885   
7                                 0                        4498360451   
8                            170727                        4262820841   
9                            139603                        5600792477   
10                           117846                        1921609614   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0      3078478557              75412678   
1      2676582415             249403654   
2      2573243066            -155854354   
3      2571419986            -375185256   
4      2058694206             600101053   
5      2069744385            -533363742   
6      2346394437              73013973   
7      2269956700             591832299   
8      1898867849             455715590   
9      2192458783             143752341   
10     2553957106             653887670   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                         8311844522   -1167327273   
1                                         8689572166   -3076570836   
2                                         7682438139    -507283636   
3                                         6066068834   -2443583364   
4                                         6967468904   -3449883374   
5                                         6478262759   -1821137262   
6                                         6787577644    -736318181   
7                                         6265190594   -4965142727   
8                                         6716534567   -8712450363   
9                                         5867228453             0   
10                                        6124159748     -22363636   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                   745552                     -1166581721   
1                                197771541                     -2225162932   
2                                106979150                      -291213577   
3                                260587531                     -1804814014   
4                                286863454                     -3117565375   
5                                231830271                     15878874827   
6                                        0                      -736318181   
7                                        0                     -1403324545   
8                                110007800                     -8602442563   
9                                 60853500                       170470773   
10                                91282800                      6698600057   

