     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0        6.533362                  23.305159                 32.797784   
1        5.977072                  21.286853                 30.294642   
2        4.174374                  27.870545                 39.748827   
3        3.958421                  38.341754                 46.446385   
4        6.508831                  30.775150                 41.973826   
5       26.906231                  13.078365                 38.915411   
6       14.449699                   5.546168                 56.159407   
7       10.569551                   8.223642                 40.466369   
8       12.336112                  20.542151                 31.517153   
9       10.799095                  31.548079                 32.525061   
10       7.061653                  29.674770                 44.167317   

                                                                    \
   Số ngày thanh toán bình quân Chu kỳ tiền Vòng quay hàng tồn kho   
0                     46.141527  102.244470              11.128801   
1                     35.020682   86.602177              12.048335   
2                     32.137997   99.757370               9.182661   
3                     48.442302  133.230442               7.858523   
4                     58.836551  131.585528               8.695895   
5                     34.337752   86.331527               9.379318   
6                     42.462362  104.167936               6.499356   
7                     38.209302   86.899313               9.019836   
8                     31.228290   83.287595              11.580995   
9                     26.814418   90.887557              11.222116   
10                    20.739708   94.581795               8.264029   

   Chỉ tiêu cơ cấu nguồn vốn                                               
            (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   1.774320  2.997091       1.829335            1.641337  
1                   2.046033  3.445707       1.675834            1.438191  
2                   3.543224  3.780422       2.604322            1.448742  
3                   4.762789  3.984717       2.221495            1.454764  
4                   2.031939  2.924008       1.831204            1.465281  
5                   0.776640  1.616083       0.282489            1.341683  
6                   0.405950  1.484218       0.403258            1.176147  
7                   0.287595  1.306415       0.592208            1.161452  
8                   0.000000  1.768218       0.742973            1.088546  
9                   0.582314  1.819226       0.685592            1.048375  
10                  1.235901  2.081358       1.049025            1.019804  
