     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
   Chỉ số thanh toán tiền mặt Chỉ số thanh toán nhanh   
0                    0.002134                0.988287   
1                    0.008267                0.798582   
2                    0.001567                0.830941   
3                    0.010594                0.805528   
4                    0.009456                0.782904   
5                    0.015961                0.667055   
6                    0.028956                0.820745   
7                    0.031180                0.775000   
8                    0.001834                0.875419   
9                    0.007471                0.887133   
10                   0.022298                0.755790   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                 -4.198305          2.459757                    2.063460   
1                 -3.985440          3.059410                    2.226056   
2                 -4.142134          3.051983                    2.395518   
3                 -4.062327          3.171090                    1.976277   
4                 -3.541391          4.006220                    2.001386   
5                 -3.798018          4.354341                    2.055579   
6                 -3.670404          4.020220                    1.907969   
7                 -4.330884          3.871774                    2.107387   
8                 -4.600639          2.987176                    2.435549   
9                 -3.341575          2.988547                    2.165417   
10                -3.636213          3.674083                    2.393217   

                                                                        \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0       11.011439                  97.296792                 47.637207   
1       12.002367                  86.151904                 47.693168   
2       11.417072                  79.701933                 40.022002   
3        8.470734                  92.882239                 45.728187   
4        9.424096                  87.905213                 52.080229   
5        9.899645                  88.115464                 49.988867   
6        9.082442                  94.903525                 48.946583   
7       12.414238                  89.446800                 48.789260   
8       15.095683                  84.550102                 39.284410   
9       11.609004                  88.522986                 46.982997   
10      12.640937                  83.354880                 38.283770   

                                                                    \
   Số ngày thanh toán bình quân Chu kỳ tiền Vòng quay hàng tồn kho   
0                     45.466323  190.400322               7.662078   
1                     46.826895  180.671968               7.653088   
2                     44.578313  164.302248               9.119984   
3                     44.694394  183.304820               7.981948   
4                     41.699986  181.685428               7.008418   
5                     46.534560  184.638892               7.301626   
6                     55.871498  199.721607               7.457109   
7                     47.886474  186.122533               7.481155   
8                     36.896949  160.731461               9.291218   
9                     40.144473  175.650455               7.768768   
10                    37.366693  159.005343               9.534066   

   Chỉ tiêu cơ cấu nguồn vốn                                               
            (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   0.674672  1.459757       0.472180            2.104093  
1                   1.157092  2.059410       0.561500            2.002495  
2                   0.934371  2.051983       0.572301            1.896222  
3                   1.237840  2.171090       0.737871            1.779776  
4                   2.215851  3.006220       0.936767            1.673001  
5                   2.243372  3.354341       0.828151            1.489271  
6                   2.012480  3.020220       0.916028            1.392663  
7                   1.855547  2.871774       0.737316            1.309419  
8                   1.022943  1.987176       0.424439            1.268384  
9                   1.121582  1.988547       0.545035            1.160507  
10                  1.719120  2.674083       0.698434            1.099042  
